category,fabric,product_name,color,color_hex,limited,reverse_side,image_filename
Tablecloths and Overlays,Classic Solid,Classic Solid Apple,Apple,#7CB342,,,apple.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Aqua,Aqua,#4DD0C4,,,aquav3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Black,Black,#20232A,,,black.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Blush,Blush,#D9AFAE,,,blushv3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Brown,Brown,#6B4A34,,,brown.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Burgundy,Burgundy,#6B2737,,,burgandy.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Burnt Orange,Burnt Orange,#C1502E,,,burntorange.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Cafe,Cafe,#5B3A29,,,cate.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Camel,Camel,#C19A6B,,,camel.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Caribbean Blue,Caribbean Blue,#1CA9C9,,,carribeanblueembroidered..jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Charcoal,Charcoal,#3A3F44,,,charcoal.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Citron,Citron,#9FB03A,,,citron.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Coral,Coral,#E8836B,,,coralv3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Dusty Rose,Dusty Rose,#C98A93,,,dustyrose.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Eggplant,Eggplant,#5B3358,,,eggplantv3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Forest Green,Forest Green,#2E5339,,,forest.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Gold,Gold,#C9A227,,,goldv3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Ivory,Ivory,#F1EEE3,,,ivoryv3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Kelly,Kelly,#3E8E4F,,,kelly.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Light Blue,Light Blue,#A9CCE3,,,lightblue.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Lilac,Lilac,#C6A6D6,,,lilac.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Lime,Lime,#B7D14A,,,lime.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Maize,Maize,#E8C547,,,maizev3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Mint,Mint,#9FD8B8,,,mint.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Moss,Moss,#6B7A4A,,,moss.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Navy,Navy,#1F2E4A,,,navy.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Periwinkle,Periwinkle,#8B9DDB,,,periwinklev3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Pink,Pink,#E8A6C1,,,pink.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Purple,Purple,#6C4A9C,,,purple.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Raspberry,Raspberry,#9C2B4E,,,Raspberry.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Red,Red,#B12A2A,,,red.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Royal,Royal,#2E4EA6,,,royal.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Sage,Sage,#8A9A7B,,,sage.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Seamist,Seamist,#8FC1B5,,,seamist.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Silver,Silver,#B9BDC1,,,silver.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Slate Blue,Slate Blue,#5B7A9D,,,slateblue.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Tan,Tan,#C2A87A,,,tan.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Tangerine,Tangerine,#E8792E,,,tangerine.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Teal,Teal,#1B7B7A,,,tealv3.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Turquoise,Turquoise,#2FB6B0,,,turquoise.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid White,White,#FAFAFA,,,white.jpg
Tablecloths and Overlays,Classic Solid,Classic Solid Yellow,Yellow,#EFCB3B,,,yellow.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe Black (Limited),Black,#20232A,yes,,swatch26.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe Burgundy (Limited),Burgundy,#6B2737,yes,,swatch23.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe Forest Green (Limited),Forest Green,#2E5339,yes,,swatch29forestgreen.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe Ivory (Limited),Ivory,#F1EEE3,yes,,swatch27cream.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe Navy (Limited),Navy,#1F2E4A,yes,,swatch24.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe Red (Limited),Red,#B12A2A,yes,,swatch25.jpg
Tablecloths and Overlays,Imperial Stripe,Imperial Stripe White (Limited),White,#FAFAFA,yes,,swatch28white.jpg
Tablecloths and Overlays,Picnic Check,Picnic Check Black,Black,#20232A,,,blackandwhitecheckered.jpg
Tablecloths and Overlays,Picnic Check,Picnic Check Blue,Blue,#B6A899,,,bluecheckered.jpg
Tablecloths and Overlays,Picnic Check,Picnic Check Green,Green,#B6A899,,,greencheckered.jpg
Tablecloths and Overlays,Picnic Check,Picnic Check Red,Red,#B12A2A,,,redcheckered.jpg
Tablecloths and Overlays,Picnic Check,Picnic Check Yellow,Yellow,#EFCB3B,,,yellowcheckered.jpg
Tablecloths and Overlays,Shantung,Shantung Avocado,Avocado,#8A9A46,,,shantungavacadov3.jpg
Tablecloths and Overlays,Shantung,Shantung Avocado Reverse,Avocado,#8A9A46,,yes,shantungavacado2.jpg
Tablecloths and Overlays,Shantung,Shantung Black,Black,#20232A,,,shantungblack.jpg
Tablecloths and Overlays,Shantung,Shantung Black Reverse,Black,#20232A,,yes,shantungblack2.jpg
Tablecloths and Overlays,Shantung,Shantung Burgundy,Burgundy,#6B2737,,,shantungburgandy.jpg
Tablecloths and Overlays,Shantung,Shantung Burgundy Reverse,Burgundy,#6B2737,,yes,shantungburgandy2.jpg
Tablecloths and Overlays,Shantung,Shantung Cafe,Cafe,#5B3A29,,,cafeshantung2.jpg
Tablecloths and Overlays,Shantung,Shantung Cafe Reverse,Cafe,#5B3A29,,yes,cafeshantung2-2.jpg
Tablecloths and Overlays,Shantung,Shantung Charcoal,Charcoal,#3A3F44,,,shantungcharcoal.jpg
